NR_SEQ_EXAME;NM_EXAME;CD_EXAME_INTEGRACAO;RESPOSTA
19294;Cadmio - Sangue (Matrix);CADS1; Cod_exame = 19294 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19294;Cadmio - Sangue (Matrix);CADS1; Cod_exame = 19294 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18056;Cadmio - Urina (Matrix);CAD; Cod_exame = 18056 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18056;Cadmio - Urina (Matrix);CAD; Cod_exame = 18056 | Material= Urina | Estab_liberado = Hospital do Coracao
19242;Cadmio Serico, Dosagem (Matrix);CADS; Cod_exame = 19242 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19242;Cadmio Serico, Dosagem (Matrix);CADS; Cod_exame = 19242 | Material= Sangue | Estab_liberado = Hospital do Coracao
19313;Cafeina (Matrix);CAFEINA; Cod_exame = 19313 | Material= Soro | Estab_liberado = Hospital do Coracao
19313;Cafeina (Matrix);CAFEINA; Cod_exame = 19313 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Lavado Brônquico | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Sangue de Cateter | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Traqueal | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Vaginal | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Diversos | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secrecao Rinofaringe | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Orgânico | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Peritoneal | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Vaginal | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Nasofaringe | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Abcesso | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Ocular Esquerda | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Peritoneal | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Sinovial | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Pele | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Pele | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secrecao Rinofaringe | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Dreno | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Ocular Direita | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Ascítico | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Orofaringe | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Bronquica | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Dreno | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Cavitário | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Escarro | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Lavado Brônquico | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Sinovial | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Ascítico | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Ocular Direita | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Orgânico | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Orofaringe | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Aspirado Brônquico | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Abcesso | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Ocular Esquerda | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Sangue de Cateter | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Bronquica | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Cavitário | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Escarro | Estab_liberado = Hospital do Coracao
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção Traqueal | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Secreção de Nasofaringe | Estab_liberado = Hospital Santa Luzia
19243;Calcio - Liquidos Corporais (Matrix);CALC; Cod_exame = 19243 | Material= Aspirado Brônquico | Estab_liberado = Hospital Santa Luzia
18072;Calcio - Urina (Amostra Unica) (Matrix);CAU; Cod_exame = 18072 | Material= Urina | Estab_liberado = Hospital do Coracao
18072;Calcio - Urina (Amostra Unica) (Matrix);CAU; Cod_exame = 18072 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18059;Calcio - Urina 24 Horas (Matrix);CAU24; Cod_exame = 18059 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
18059;Calcio - Urina 24 Horas (Matrix);CAU24; Cod_exame = 18059 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
43912;Calcio - Urina 6 horas (Matrix);CAU6; Cod_exame = 43912 | Material= Urina 6 horas | Estab_liberado = Hospital do Coracao
43912;Calcio - Urina 6 horas (Matrix);CAU6; Cod_exame = 43912 | Material= Urina 6 horas | Estab_liberado = Hospital Santa Luzia
19289;CALCIO IONICO - POS FILTRO (Matrix);CAIPF; Cod_exame = 19289 | Material= Soro | Estab_liberado = Hospital do Coracao
19289;CALCIO IONICO - POS FILTRO (Matrix);CAIPF; Cod_exame = 19289 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18057;Calcio Ionico (Matrix);CAI; Cod_exame = 18057 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18057;Calcio Ionico (Matrix);CAI; Cod_exame = 18057 | Material= Soro | Estab_liberado = Hospital do Coracao
18058;Calcio Serico (Matrix);CA; Cod_exame = 18058 | Material= Soro | Estab_liberado = Hospital do Coracao
18058;Calcio Serico (Matrix);CA; Cod_exame = 18058 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19812;Calcitonina - Outros Materiais (Matrix);CLCLC; Cod_exame = 19812 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
19472;Calcitonina - Outros Materiais (Matrix);CLCLC; Cod_exame = 19472 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
19812;Calcitonina - Outros Materiais (Matrix);CLCLC; Cod_exame = 19812 | Material= Diversos | Estab_liberado = Hospital do Coracao
19472;Calcitonina - Outros Materiais (Matrix);CLCLC; Cod_exame = 19472 | Material= Diversos | Estab_liberado = Hospital do Coracao
18060;Calcitonina - Sangue (Matrix);CLC; Cod_exame = 18060 | Material= SORO CONGELADO | Estab_liberado = Hospital Santa Luzia
18060;Calcitonina - Sangue (Matrix);CLC; Cod_exame = 18060 | Material= SORO CONGELADO | Estab_liberado = Hospital do Coracao
19571;Calculo da Estimativa da Taxa, de Filtraçao Glomerular - Soro (Matrix);GLOME; Cod_exame = 19571 | Material= Soro | Estab_liberado = Hospital do Coracao
19571;Calculo da Estimativa da Taxa, de Filtraçao Glomerular - Soro (Matrix);GLOME; Cod_exame = 19571 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18061;Calculo Renal (Matrix);ECR; Cod_exame = 18061 | Material= Cálculo Urinário | Estab_liberado = Hospital Santa Luzia
18061;Calculo Renal (Matrix);ECR; Cod_exame = 18061 | Material= Cálculo Urinário | Estab_liberado = Hospital do Coracao
18194;Calprotectina Fecal (Matrix);CALPF; Cod_exame = 18194 | Material= Fezes | Estab_liberado = Hospital do Coracao
18194;Calprotectina Fecal (Matrix);CALPF; Cod_exame = 18194 | Material= Fezes | Estab_liberado = Hospital Santa Luzia
19452;Campylobacter - Pesquisa (Matrix);CAMPY; Cod_exame = 19452 | Material= Fezes | Estab_liberado = Hospital Santa Luzia
19452;Campylobacter - Pesquisa (Matrix);CAMPY; Cod_exame = 19452 | Material= Fezes | Estab_liberado = Hospital do Coracao
18754;Campylobacter Jejuni - Anti Igg - Soro (Matrix);ACAMJG; Cod_exame = 18754 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18754;Campylobacter Jejuni - Anti Igg - Soro (Matrix);ACAMJG; Cod_exame = 18754 | Material= Soro | Estab_liberado = Hospital do Coracao
18755;Campylobacter Jejuni - Anti Igm - Soro (Matrix);ACAMJM; Cod_exame = 18755 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18755;Campylobacter Jejuni - Anti Igm - Soro (Matrix);ACAMJM; Cod_exame = 18755 | Material= Soro | Estab_liberado = Hospital do Coracao
18756;Canabinoides (Maconha) (Matrix) ;MMC; Cod_exame = 18756 | Material= Urina | Estab_liberado = Hospital Santa Luzia
18756;Canabinoides (Maconha) (Matrix) ;MMC; Cod_exame = 18756 | Material= Urina | Estab_liberado = Hospital do Coracao
19591;Canal de Calcio Regulado por Voltagem, Anticorpos - Soro (Matrix);CCRVA; Cod_exame = 19591 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19591;Canal de Calcio Regulado por Voltagem, Anticorpos - Soro (Matrix);CCRVA; Cod_exame = 19591 | Material= Soro | Estab_liberado = Hospital do Coracao
18195;Candida - Anticorpos IGA (Matrix);CANDA; Cod_exame = 18195 | Material= Soro | Estab_liberado = Hospital do Coracao
18195;Candida - Anticorpos IGA (Matrix);CANDA; Cod_exame = 18195 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18196;Candida - Anticorpos IGG (Matrix);CANDG; Cod_exame = 18196 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18196;Candida - Anticorpos IGG (Matrix);CANDG; Cod_exame = 18196 | Material= Soro | Estab_liberado = Hospital do Coracao
18197;Candida - Anticorpos IGM (Matrix);CANDM; Cod_exame = 18197 | Material= Soro | Estab_liberado = Hospital do Coracao
18197;Candida - Anticorpos IGM (Matrix);CANDM; Cod_exame = 18197 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18062;Capacidade Latente De Ligaçao Do Ferro (Matrix);CLF; Cod_exame = 18062 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18062;Capacidade Latente De Ligaçao Do Ferro (Matrix);CLF; Cod_exame = 18062 | Material= Soro | Estab_liberado = Hospital do Coracao
18063;Capacidade Total De Fixaçao Do Ferro - TIBC (Matrix);CFT; Cod_exame = 18063 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18063;Capacidade Total De Fixaçao Do Ferro - TIBC (Matrix);CFT; Cod_exame = 18063 | Material= Soro | Estab_liberado = Hospital do Coracao
18064;Carbamazepina (Matrix);CBZ; Cod_exame = 18064 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18064;Carbamazepina (Matrix);CBZ; Cod_exame = 18064 | Material= Soro | Estab_liberado = Hospital do Coracao
18198;Carboxihemoglobina (Matrix);CAR; Cod_exame = 18198 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
18198;Carboxihemoglobina (Matrix);CAR; Cod_exame = 18198 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18757;Cariotipo Alta Resoluçao - Sangue (Matrix);CPN; Cod_exame = 18757 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18757;Cariotipo Alta Resoluçao - Sangue (Matrix);CPN; Cod_exame = 18757 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19566;Cariotipo Com Banda G - Liquido Amniotico (Matrix);CBGD; Cod_exame = 19566 | Material= Líquido Amniótico | Estab_liberado = Hospital do Coracao
19566;Cariotipo Com Banda G - Liquido Amniotico (Matrix);CBGD; Cod_exame = 19566 | Material= Líquido Amniótico | Estab_liberado = Hospital Santa Luzia
19816;Cariotipo com Banda G - Material De Aborto (Matrix);CBGD; Cod_exame = 19816 | Material= Material de aborto | Estab_liberado = Hospital Santa Luzia
19816;Cariotipo com Banda G - Material De Aborto (Matrix);CBGD; Cod_exame = 19816 | Material= Material de aborto | Estab_liberado = Hospital do Coracao
18065;Cariotipo Com Banda G - Medula Ossea (Matrix);CBGLC; Cod_exame = 18065 | Material= Medula Óssea | Estab_liberado = Hospital Santa Luzia
18065;Cariotipo Com Banda G - Medula Ossea (Matrix);CBGLC; Cod_exame = 18065 | Material= Medula Óssea | Estab_liberado = Hospital do Coracao
18758;Cariotipo Com Banda G - Sangue - 100 Celulas (Matrix) ;CBG5100; Cod_exame = 18758 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18758;Cariotipo Com Banda G - Sangue - 100 Celulas (Matrix) ;CBG5100; Cod_exame = 18758 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
18759;Cariotipo Com Banda G - Sangue - 50 Celulas (Matrix);CBG50; Cod_exame = 18759 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18759;Cariotipo Com Banda G - Sangue - 50 Celulas (Matrix);CBG50; Cod_exame = 18759 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19564;Cariotipo com Banda G - Sangue Fetal (Matrix);CBGD; Cod_exame = 19564 | Material= Sangue Fetal | Estab_liberado = Hospital do Coracao
19564;Cariotipo com Banda G - Sangue Fetal (Matrix);CBGD; Cod_exame = 19564 | Material= Sangue Fetal | Estab_liberado = Hospital Santa Luzia
18110;Cariotipo Com Banda G - Sangue (Matrix);CBG; Cod_exame = 18110 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
18110;Cariotipo Com Banda G - Sangue (Matrix);CBG; Cod_exame = 18110 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
19562;Cariotipo com Banda G - Vilo Corial (Matrix);CBGD; Cod_exame = 19562 | Material= Vilo Corial | Estab_liberado = Hospital Santa Luzia
19562;Cariotipo com Banda G - Vilo Corial (Matrix);CBGD; Cod_exame = 19562 | Material= Vilo Corial | Estab_liberado = Hospital do Coracao
19141;Cariotipo, com banda G (material de aborto) (Matrix);CBGD; Cod_exame = 19141 | Material= Material de aborto | Estab_liberado = Hospital do Coracao
19141;Cariotipo, com banda G (material de aborto) (Matrix);CBGD; Cod_exame = 19141 | Material= Material de aborto | Estab_liberado = Hospital Santa Luzia
19113;CARIOTIPO DE MEDULA OSSEA (Matrix);CMO; Cod_exame = 19113 | Material= Aspirado de Medula | Estab_liberado = Hospital do Coracao
19113;CARIOTIPO DE MEDULA OSSEA (Matrix);CMO; Cod_exame = 19113 | Material= Aspirado de Medula | Estab_liberado = Hospital Santa Luzia
19826;Cariotipo Sindromes Quebras Cromossomicas - sangue periferico (Matrix);CARSQC; Cod_exame = 19826 | Material= Sangue Periférico | Estab_liberado = Hospital Santa Luzia
19826;Cariotipo Sindromes Quebras Cromossomicas - sangue periferico (Matrix);CARSQC; Cod_exame = 19826 | Material= Sangue Periférico | Estab_liberado = Hospital do Coracao
18760;Carnitina Total E Livre (Matrix);CARTL; Cod_exame = 18760 | Material= Plasma Congelado | Estab_liberado = Hospital do Coracao
18760;Carnitina Total E Livre (Matrix);CARTL; Cod_exame = 18760 | Material= Plasma Congelado | Estab_liberado = Hospital Santa Luzia
19817;Catecolaminas, Amostra Isolada - Urina (Matrix);CATECI; Cod_exame = 19817 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
19817;Catecolaminas, Amostra Isolada - Urina (Matrix);CATECI; Cod_exame = 19817 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
18199;Catecolaminas Fracoes - Sangue (Matrix);CTP; Cod_exame = 18199 | Material= Plasma Congelado | Estab_liberado = Hospital do Coracao
18199;Catecolaminas Fracoes - Sangue (Matrix);CTP; Cod_exame = 18199 | Material= Plasma Congelado | Estab_liberado = Hospital Santa Luzia
18200;Catecolaminas Fracoes - Urina 24H (Matrix);CAT; Cod_exame = 18200 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital do Coracao
18200;Catecolaminas Fracoes - Urina 24H (Matrix);CAT; Cod_exame = 18200 | Material= URINA 24 HORAS COM CONSERVANTE | Estab_liberado = Hospital Santa Luzia
18761;Catecolaminas Totais - Urina 24H (Matrix);CATEC; Cod_exame = 18761 | Material= Urina 24 Horas | Estab_liberado = Hospital Santa Luzia
18761;Catecolaminas Totais - Urina 24H (Matrix);CATEC; Cod_exame = 18761 | Material= Urina 24 Horas | Estab_liberado = Hospital do Coracao
18201;Caxumba IGG (Matrix);CXG; Cod_exame = 18201 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18201;Caxumba IGG (Matrix);CXG; Cod_exame = 18201 | Material= Soro | Estab_liberado = Hospital do Coracao
18202;Caxumba IGM (Matrix);CXM; Cod_exame = 18202 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18202;Caxumba IGM (Matrix);CXM; Cod_exame = 18202 | Material= Soro | Estab_liberado = Hospital do Coracao
18203;CD19 - Linfocitos B (Matrix);CD19; Cod_exame = 18203 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital do Coracao
18203;CD19 - Linfocitos B (Matrix);CD19; Cod_exame = 18203 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital Santa Luzia
19484;CD20 - Linfocitos B (Matrix);CD20; Cod_exame = 19484 | Material= Sangue | Estab_liberado = Hospital do Coracao
19254;CD20 - Linfocitos B (Matrix);CD20; Cod_exame = 19254 | Material= Sangue | Estab_liberado = Hospital do Coracao
19484;CD20 - Linfocitos B (Matrix);CD20; Cod_exame = 19484 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
19254;CD20 - Linfocitos B (Matrix);CD20; Cod_exame = 19254 | Material= Sangue | Estab_liberado = Hospital Santa Luzia
18762;CD3 - Subpopulaçao Linfocitaria (Matrix);CD3; Cod_exame = 18762 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital do Coracao
18762;CD3 - Subpopulaçao Linfocitaria (Matrix);CD3; Cod_exame = 18762 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital Santa Luzia
19856;CD4 - Linfocitos T Auxiliadores CD4+ - Liquidos Corporais (Matrix);CD4LC; Cod_exame = 19856 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
19856;CD4 - Linfocitos T Auxiliadores CD4+ - Liquidos Corporais (Matrix);CD4LC; Cod_exame = 19856 | Material= Diversos | Estab_liberado = Hospital do Coracao
18204;CD56 - Celulas Nk (Matrix);CD56; Cod_exame = 18204 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital do Coracao
18204;CD56 - Celulas Nk (Matrix);CD56; Cod_exame = 18204 | Material= SANGUE TOTAL AMBIENTE | Estab_liberado = Hospital Santa Luzia
19857;CD8 - Linfocitos T Citotoxicos CD8+ - Liquidos Corporais (Matrix);CD8LC; Cod_exame = 19857 | Material= Diversos | Estab_liberado = Hospital do Coracao
19857;CD8 - Linfocitos T Citotoxicos CD8+ - Liquidos Corporais (Matrix);CD8LC; Cod_exame = 19857 | Material= Diversos | Estab_liberado = Hospital Santa Luzia
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquido Ascítico | Estab_liberado = Hospital Santa Luzia
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= LIQUIDOS CORPORAIS | Estab_liberado = Hospital do Coracao
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquido Ascítico | Estab_liberado = Hospital do Coracao
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= LIQUIDOS CORPORAIS | Estab_liberado = Hospital Santa Luzia
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquido Pleural | Estab_liberado = Hospital Santa Luzia
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquor | Estab_liberado = Hospital do Coracao
18066;CEA - Antigeno Carcinoembrionario Liquidos (Matrix);CEAL; Cod_exame = 18066 | Material= Líquido Pleural | Estab_liberado = Hospital do Coracao
18069;CEA - Antigeno Carcinoembrionario (Matrix);CEA; Cod_exame = 18069 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18069;CEA - Antigeno Carcinoembrionario (Matrix);CEA; Cod_exame = 18069 | Material= Soro | Estab_liberado = Hospital do Coracao
43923;CEA AG Carcinoembriogenico - Liquor (Matrix);CEALQ; Cod_exame = 43923 | Material= Líquor | Estab_liberado = Hospital do Coracao
43923;CEA AG Carcinoembriogenico - Liquor (Matrix);CEALQ; Cod_exame = 43923 | Material= Líquor | Estab_liberado = Hospital Santa Luzia
19449;Cebpa Mutacao (Reflexo) - Medula Ossea (Matrix);CEBPA; Cod_exame = 19449 | Material= Medula Óssea | Estab_liberado = Hospital Santa Luzia
19449;Cebpa Mutacao (Reflexo) - Medula Ossea (Matrix);CEBPA; Cod_exame = 19449 | Material= Medula Óssea | Estab_liberado = Hospital do Coracao
19314;Cebpa Mutacao (Reflexo) Medula Ossea (Matrix);CEBPA; Cod_exame = 19314 | Material= Medula Óssea | Estab_liberado = Hospital Santa Luzia
19314;Cebpa Mutacao (Reflexo) Medula Ossea (Matrix);CEBPA; Cod_exame = 19314 | Material= Medula Óssea | Estab_liberado = Hospital do Coracao
19081;Celula Parietal, Anticorpos Anti (Matrix);ACP; Cod_exame = 19081 | Material= Soro | Estab_liberado = Hospital do Coracao
19081;Celula Parietal, Anticorpos Anti (Matrix);ACP; Cod_exame = 19081 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18067;Ceruloplasmina (Matrix);CER; Cod_exame = 18067 | Material= Soro | Estab_liberado = Hospital do Coracao
18067;Ceruloplasmina (Matrix);CER; Cod_exame = 18067 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19572;Cevada, IGE Especifico (F6) (Matrix);IGEF6; Cod_exame = 19572 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19572;Cevada, IGE Especifico (F6) (Matrix);IGEF6; Cod_exame = 19572 | Material= Soro | Estab_liberado = Hospital do Coracao
19295;CGH Array Analise Cromossomica  (Matrix);CGH; Cod_exame = 19295 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
19295;CGH Array Analise Cromossomica  (Matrix);CGH; Cod_exame = 19295 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
18068;Chagas - Anticorpos IGG - Elisa (Matrix);CHAEL; Cod_exame = 18068 | Material= Soro | Estab_liberado = Hospital do Coracao
18068;Chagas - Anticorpos IGG - Elisa (Matrix);CHAEL; Cod_exame = 18068 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18478;Chagas - Hemaglutinaçao (Matrix);CHAH; Cod_exame = 18478 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18478;Chagas - Hemaglutinaçao (Matrix);CHAH; Cod_exame = 18478 | Material= Soro | Estab_liberado = Hospital do Coracao
18479;Chagas - Imunofluorescencia IGG (Matrix);CHAG; Cod_exame = 18479 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18479;Chagas - Imunofluorescencia IGG (Matrix);CHAG; Cod_exame = 18479 | Material= Soro | Estab_liberado = Hospital do Coracao
18111;Chagas - Imunofluorescencia IGM (Matrix);CHAM; Cod_exame = 18111 | Material= Soro | Estab_liberado = Hospital Santa Luzia
18111;Chagas - Imunofluorescencia IGM (Matrix);CHAM; Cod_exame = 18111 | Material= Soro | Estab_liberado = Hospital do Coracao
18112;Chagas IGM - Neonatal (Matrix);CHAMNN; Cod_exame = 18112 | Material= SANGUE CAPILAR | Estab_liberado = Hospital do Coracao
18112;Chagas IGM - Neonatal (Matrix);CHAMNN; Cod_exame = 18112 | Material= SANGUE CAPILAR | Estab_liberado = Hospital Santa Luzia
19038;Chikungunya Igg E Igm - Sorologia (Matrix);CHIKGM; Cod_exame = 19038 | Material= Soro | Estab_liberado = Hospital Santa Luzia
19038;Chikungunya Igg E Igm - Sorologia (Matrix);CHIKGM; Cod_exame = 19038 | Material= Soro | Estab_liberado = Hospital do Coracao
18113;Chikungunya Virus - Detecçao Por PCR - Sangue (Matrix);CHIKV; Cod_exame = 18113 | Material= PLASMA EDTA CONGELADO | Estab_liberado = Hospital Santa Luzia
18113;Chikungunya Virus - Detecçao Por PCR - Sangue (Matrix);CHIKV; Cod_exame = 18113 | Material= PLASMA EDTA CONGELADO | Estab_liberado = Hospital do Coracao
18114;Chumbo - Sangue (Matrix);PBS; Cod_exame = 18114 | Material= Sangue Total | Estab_liberado = Hospital Santa Luzia
18114;Chumbo - Sangue (Matrix);PBS; Cod_exame = 18114 | Material= Sangue Total | Estab_liberado = Hospital do Coracao
